,joined,kind,link,location,market,name,pitch,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
639,2013-06-01,Startup,https://angel.co/company/civitaslabs,Montevideo Department,Governments,Civitaslabs,"
E-Government & Citizenship participation platforms
",35000,1-10,Seed,civitaslabs.com,6.542465753424658,5349.664991624791,0,0,5.0
640,2014-02-01,Startup,https://angel.co/company/cladwell,Cincinnati,Sustainability,Cladwell,"
Your personal guide to a smaller closet.
",1728800,1-10,Seed,cladwell.com,5.8712328767123285,294452.6364909006,0,0,5.0
641,2015-11-01,Startup,https://angel.co/company/clarahealth,San Francisco,Clinical Trials,Clara,"
Empower patients to find the right clinical trial for them.
",3000000,1-10,Seed,clarahealth.com,4.123287671232877,727574.7508305648,1,0,5.0
642,2014-05-01,Startup,https://angel.co/company/clarifai,Tysons,Photo Sharing,Clarifai,"
Computer Vision Company
",40000000,51-200,,clarifai.com,5.627397260273972,7108081.791626096,1,1,125.0
643,2013-11-01,Startup,https://angel.co/company/clariture,San Francisco,Social CRM,Clariture,"
Enterprise Healthcare Marketing Platform
",4500000,11-50,Series A,clariturehealth.com,6.123287671232877,734899.3288590604,1,0,25.0
644,2012-02-01,Startup,https://angel.co/company/clarity,Moncton,Q&A,Clarity,"
We make it easy for you to find, schedule and pay for expert advice to grow your business
",1600000,1-10,Seed,clarity.fm,7.873972602739726,203201.11343075853,0,0,5.0
645,2016-10-01,Startup,https://angel.co/company/clark-6,New York City,Freelancers,Clark,"
The virtual assistant for your tutoring business
",3250000,1-10,Seed,hiclark.com,3.2054794520547945,1013888.8888888889,1,0,5.0
646,2012-07-01,Startup,https://angel.co/company/classdojo,San Francisco,Kids,ClassDojo,"
Building understanding between teachers, parents, and students
",31100000,11-50,Series B,classdojo.com,7.46027397260274,4168747.704737422,1,1,25.0
647,2011-07-01,Startup,https://angel.co/company/classpass,San Francisco,Fitness,ClassPass,"
A fitness membership that lets you enjoy diverse and exciting ways to work out.
",84000000,201-500,Series C,classpass.com,8.463013698630137,9925542.246681774,1,1,350.0
648,2011-10-01,Startup,https://angel.co/company/classy,San Diego,Nonprofits,Classy,"
The world’s largest fundraising platform for social good organizations.
",48000000,201-500,Series C,classy.org,8.210958904109589,5845845.845845846,1,1,350.0
649,2014-03-01,Startup,https://angel.co/company/clausematch,London,Legal,ClauseMatch,"
Next generation enterprise document authoring, collaboration and publishing platform
",3945000,11-50,Seed,clausematch.com,5.794520547945205,680815.6028368794,1,0,25.0
650,2012-02-01,Startup,https://angel.co/company/clay-io,San Francisco,Messaging,Clay.io,"
The platform for mobile web games
",550000,1-10,Seed,clay.io,7.873972602739726,69850.38274182324,0,0,5.0
651,2016-02-01,Startup,https://angel.co/company/cleanchoiceenergy,Washington DC,Solar,CleanChoice Energy,"
Direct-to-consumer renewable energy platform
",13400000,11-50,Series A,cleanchoiceenergy.com,3.871232876712329,3461429.5824486907,1,1,25.0
